Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.291,208.178116708527,173.888747041636,1.19719142411602,0.549812187138347,28715,190.141097274511,0.763922518159806,0.988855998607,0.958027126250128,0.913357754795763,0.00733150613518321,0.00314728916733569,0.834222388245556,0.998723889013168,SEKER
28734,638.018,200.524795663648,182.734419351024,1.09735646068106,0.41178525136724,29172,191.272750485845,0.783968132707629,0.984985602632661,0.887033636552887,0.953860842260513,0.00697865927694188,0.00356362371210096,0.909850506397935,0.998430331449707,SEKER
29380,624.11,212.826129860206,175.931142612714,1.20971265632436,0.562727316750412,29690,193.41090409881,0.778113247523704,0.989558773997979,0.947849473016411,0.908774238510331,0.00724391184003426,0.00304773321721317,0.825870616580033,0.999066137363272,SEKER
30008,645.884,210.557998960925,182.516515695305,1.15363805932189,0.498615976402717,30724,195.467061824781,0.782681272822118,0.976695742741831,0.903936374317338,0.928328834759944,0.00701672883767412,0.00321456207939006,0.861794425446755,0.99419884850682,SEKER
30140,620.134,201.847882166738,190.279278786648,1.06079801990978,0.333679657773177,30417,195.896502976234,0.77309803519212,0.990893250484926,0.98487706935091,0.970515523241471,0.00669701002543921,0.00366497196445168,0.941900380852666,0.999166058960777,SEKER
30279,634.927,212.560556425386,181.510181599753,1.17106684898868,0.520400660291264,30600,196.347702240276,0.775688484693224,0.989509803921569,0.943851783250593,0.923725951522894,0.00702006527379987,0.0031527787389953,0.853269633516877,0.999235781060337,SEKER
30477,670.033,211.05015532184,184.039050112943,1.1467683363521,0.489477894457261,30970,196.988633187028,0.762401500938086,0.984081369066839,0.853079868774835,0.933373552303864,0.00692489927886079,0.00324201624537651,0.871186188140334,0.999048735626615,SEKER
30519,629.727,212.996755056346,182.737203764065,1.16559053476242,0.513759557963588,30847,197.124320330528,0.770681818181818,0.989366875222874,0.96710924399015,0.925480391841559,0.0069791524970132,0.00315828514636252,0.856513955683206,0.998344559636264,SEKER
30685,635.681,213.534145164516,183.157146295974,1.16585210832808,0.514080860347291,31044,197.659696018684,0.771561478501383,0.988435768586522,0.954239807502237,0.925658497690839,0.00695890973324153,0.00315154951881169,0.856843654347261,0.998952980928295,SEKER
30834,631.934,217.227812764409,180.897468573821,1.20083390042444,0.553642224684321,31120,198.13901211615,0.783682805947389,0.990809768637532,0.970278230120595,0.912125429956056,0.00704507403400173,0.00300803981211981,0.83197279997252,0.999061142438045,SEKER
30917,640.765,213.560089393098,184.439870859033,1.15788461788895,0.504102365412161,31280,198.405511527722,0.770805285464971,0.988395140664962,0.94625817993264,0.92903834275195,0.00690752949487654,0.00317422029479992,0.86311224230329,0.999384388874617,SEKER
31091,638.558,210.486254870828,188.32684762014,1.1176646215381,0.446621923566855,31458,198.963038490472,0.786377317449478,0.988333651217496,0.958172835629964,0.945254304669785,0.00677000594612036,0.00333398366836809,0.893505700496759,0.998639710587848,SEKER
31107,640.594,214.648548507602,184.969252585646,1.16045529463451,0.507365875296869,31423,199.014226923797,0.761046141801634,0.989943671832734,0.952581756919709,0.927163161863865,0.00690032945985154,0.00314538825697802,0.859631528717401,0.997563958934867,SEKER
31158,642.626,216.484836208562,183.64431215612,1.17882679657687,0.529514250950734,31492,199.17730225821,0.798759228876128,0.989394131843008,0.948119004016837,0.920051980298156,0.00694796958112082,0.00307105170823927,0.846495646450557,0.997871751221581,SEKER
31158,641.105,212.0669751385,187.192960068368,1.13287900923757,0.469924156725518,31474,199.17730225821,0.781313473256601,0.989959966956853,0.952623101345308,0.939218858231592,0.00680618060011876,0.00326700987845184,0.882132063657855,0.9993488982934,SEKER
31178,636.888,212.975925175588,186.56208823219,1.14158201804926,0.482352224460347,31520,199.241216935033,0.764110482072397,0.989149746192893,0.965899596025826,0.935510512612018,0.00683096815625081,0.00322742911256885,0.875179919207602,0.999089658325205,SEKER
31202,644.454,215.640694698434,184.471684245499,1.16896365737873,0.517871223251886,31573,199.317887493387,0.779192887823394,0.988249453647104,0.944079243407028,0.924305534129939,0.00691111770714807,0.00311164659191265,0.854340720423232,0.998693253193524,SEKER
31203,639.782,215.067736952165,184.874875944121,1.16331511166055,0.51094682922762,31558,199.321081459968,0.762984154929578,0.98875087141137,0.957948541785651,0.926782809382055,0.0068925339535354,0.0031366824591192,0.858926375766094,0.999202032732524,SEKER
31272,638.666,212.450318949182,187.535938994111,1.13285122888287,0.469883494214805,31593,199.541341688779,0.770322199231451,0.989839521412971,0.963425036380755,0.939237665896417,0.00679362749261901,0.00326124551720406,0.88216739303855,0.999364415284123,SEKER
31335,635.011,216.790092286783,184.163440299905,1.17716139497474,0.52758671006422,31599,199.742236730934,0.774277242401779,0.991645305231178,0.976510834463214,0.921362386186462,0.00691846472911387,0.00307546938589828,0.84890864667921,0.999302486731014,SEKER
31374,636.401,219.865394008333,182.008863698133,1.207992784203,0.560994520118261,31604,199.8664991351,0.769196822594881,0.992722440197443,0.973459862403212,0.909040279106065,0.0070078853193196,0.0029518837956689,0.826354229037234,0.998229945872614,SEKER
31530,638.857,213.785654347426,188.066482344252,1.13675574553522,0.475535641525624,31791,200.362778093886,0.768949370793093,0.991790129281872,0.970792738740304,0.937213391167368,0.00678038865675312,0.00322692069692609,0.878368940583439,0.998490939907905,SEKER
31573,674.103,217.307026058546,185.448250670846,1.17179334543439,0.521268390422128,32197,200.499356971346,0.756964756653081,0.980619312358294,0.873118506983121,0.922654736977205,0.00688268539760383,0.00307676654467165,0.851291763666475,0.997538023687478,SEKER
31637,656.711,229.719254636411,175.510445975356,1.30886371668537,0.645190802030003,32045,200.702465049103,0.761823348102485,0.987267904509284,0.921842181991718,0.87368586219194,0.00726109475096916,0.00260977519565463,0.763326985794073,0.999090995672673,SEKER
31675,657.431,236.752632109384,171.210559184609,1.38281559990762,0.690678219290455,32009,200.822963277326,0.74093567251462,0.989565434721485,0.920928960232452,0.848239622461906,0.00747443195294029,0.00238688873922109,0.719510457114316,0.994950284394336,SEKER
31682,646.721,210.045681626729,192.248415947661,1.09257431636738,0.402841973574384,32026,200.845152434156,0.773184303006638,0.989258727284082,0.951893863107529,0.956197484655159,0.00662981130063533,0.0034187812857825,0.914313629660853,0.998955588872088,SEKER
31703,656.305,215.708906739895,187.272449690278,1.15184538407356,0.496263280854626,32093,200.911705200914,0.777110501029513,0.987847817281027,0.924908560143662,0.931401990939466,0.00680405345676734,0.0031586108837337,0.867509668726,0.999237007561227,SEKER
31748,641.826,219.776518299812,184.115105311921,1.19369085946248,0.546072627557524,32020,201.054244089131,0.775589974104656,0.991505309181761,0.968482156016241,0.914812217631273,0.00692253112951405,0.00299069761657298,0.836881393527448,0.99897766990794,SEKER
31768,650.954,220.959494859984,183.292068076593,1.20550494726073,0.558465259169797,32173,201.117562279247,0.777674418604651,0.987411804929599,0.942104629800205,0.910201041175846,0.00695541094371645,0.00294477331458202,0.828465935357594,0.99871978371057,SEKER
